Model,MSO2024,
Firmware Version,CF:91.1CT FV:v1.39,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,0.002,0.002
Horizontal Delay,0.0181402,0.0181402
Sample Interval,1.6E-07,1.6E-07
Record Length,125000,125000
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1X,1X
Vertical Units,"V","V"
Vertical Offset,11,-10.5
Vertical Scale,5,5
Vertical Position,0.44,-0.42
,,
,,
,,
Label,"",""
TIME,CH1,CH2
0.00817892,0,0.1
0.00817908,0,0.1
0.00817924,0,0.1
0.0081794,0,0.1
0.00817956,0,0.1
0.00817972,0,0.1
0.00817988,0,0.1
0.00818004,0,0.1
0.0081802,0,0.1
0.00818036,0,0.1
0.00818052,0,0.1
0.00818068,0,0.1
0.00818084,0,0.1
0.008181,0,0.1
0.00818116,0,0.1
0.00818132,0,-0.1
0.00818148,0,0.1
0.00818164,0,0.1
0.0081818,0,0.1
0.00818196,0,0.1
0.00818212,0,0.1
0.00818228,0,0.1
0.00818244,0,0.1
0.0081826,0,0.1
0.00818276,0,0.1
0.00818292,0,0.1
0.00818308,0,0.1
0.00818324,0,0.1
0.0081834,0,0.1
0.00818356,0,0.1
0.00818372,0,0.1
0.00818388,0,0.1
0.00818404,0,0.1
0.0081842,0,0.1
0.00818436,0,0.1
0.00818452,0,0.1
0.00818468,0,0.1
0.00818484,0,0.1
0.008185,0,0.1
0.00818516,0,0.1
0.00818532,0,0.1
0.00818548,0,0.1
0.00818564,0,0.1
0.0081858,0,0.1
0.00818596,0,0.1
0.00818612,0,0.1
0.00818628,0,0.1
0.00818644,0,0.1
0.0081866,0,0.1
0.00818676,0,0.1
0.00818692,0,0.1
0.00818708,0,0.1
0.00818724,0,0.1
0.0081874,0,0.1
0.00818756,0,0.1
0.00818772,0,0.1
0.00818788,0,0.1
0.00818804,0,0.1
0.0081882,0,0.1
0.00818836,0,0.1
0.00818852,0,0.1
0.00818868,0,0.1
0.00818884,0,0.1
0.008189,0,0.1
0.00818916,0,0.1
0.00818932,0,0.1
0.00818948,0,0.1
0.00818964,0,0.1
0.0081898,0,0.1
0.00818996,0,0.1
0.00819012,0,0.1
0.00819028,0,-0.1
0.00819044,0,0.1
0.0081906,0,-0.1
0.00819076,0,-0.1
0.00819092,0,-0.1
0.00819108,0,-0.1
0.00819124,0,-0.1
0.0081914,0,0.1
0.00819156,0,0.1
0.00819172,0,-0.1
0.00819188,0,0.1
0.00819204,0,0.1
0.0081922,0,0.1
0.00819236,0,0.1
0.00819252,0,0.1
0.00819268,0,0.1
0.00819284,0,0.1
0.008193,0,0.1
0.00819316,0,0.1
0.00819332,0,0.1
0.00819348,0,0.1
0.00819364,0,0.1
0.0081938,0,-0.1
0.00819396,0,-0.1
0.00819412,0,-0.1
0.00819428,0,0.1
0.00819444,0,0.1
0.0081946,0,0.1
0.00819476,0,0.1
0.00819492,0,0.1
0.00819508,0,0.1
0.00819524,0,0.1
0.0081954,0,0.1
0.00819556,0,0.1
0.00819572,0,0.1
0.00819588,0,0.1
0.00819604,0,0.1
0.0081962,0,-0.1
0.00819636,0,0.1
0.00819652,0,0.1
0.00819668,0,0.1
0.00819684,0,0.1
0.008197,0,0.1
0.00819716,0,0.1
0.00819732,0,0.1
0.00819748,0,0.1
0.00819764,0,0.1
0.0081978,0,0.1
0.00819796,0,0.1
0.00819812,0,0.1
0.00819828,0,0.1
0.00819844,0,0.1
0.0081986,0,0.1
0.00819876,0,0.1
0.00819892,0,0.1
0.00819908,0,0.1
0.00819924,0,0.1
0.0081994,0,0.1
0.00819956,0,0.1
0.00819972,0,0.1
0.00819988,0,0.1
0.00820004,0,0.1
0.0082002,0,0.1
0.00820036,0,0.1
0.00820052,0,0.1
0.00820068,0,0.1
0.00820084,0,0.1
0.008201,0,0.1
0.00820116,0,0.1
0.00820132,0,0.1
0.00820148,0,0.1
0.00820164,0,0.1
0.0082018,0,0.1
0.00820196,0,0.1
0.00820212,0,0.1
0.00820228,0,0.1
0.00820244,0,0.1
0.0082026,0,0.1
0.00820276,0,0.1
0.00820292,0,0.1
0.00820308,0,0.1
0.00820324,0,0.1
0.0082034,0,0.1
0.00820356,0,0.1
0.00820372,0,0.1
0.00820388,0,0.1
0.00820404,0,0.1
0.0082042,0,0.1
0.00820436,0,0.1
0.00820452,0,0.1
0.00820468,0,0.1
0.00820484,0,0.1
0.008205,0,0.1
0.00820516,0,0.1
0.00820532,0,0.1
0.00820548,0,0.1
0.00820564,0,0.1
0.0082058,0,0.1
0.00820596,0,0.1
0.00820612,0,0.1
0.00820628,0,0.1
0.00820644,0,0.1
0.0082066,0,0.1
0.00820676,0,0.1
0.00820692,0,0.1
0.00820708,0,0.1
0.00820724,0,0.1
0.0082074,0,0.1
0.00820756,0,0.1
0.00820772,0,0.1
0.00820788,0,0.1
0.00820804,0,0.1
0.0082082,0,0.1
0.00820836,0,0.1
0.00820852,0,0.1
0.00820868,0,0.1
0.00820884,0,0.1
0.008209,0,0.1
0.00820916,0,0.1
0.00820932,0,0.1
0.00820948,0,0.1
0.00820964,0,0.1
0.0082098,0,0.1
0.00820996,0,0.1
0.00821012,0,0.1
0.00821028,0,0.1
0.00821044,0,0.1
0.0082106,0,0.1
0.00821076,0,0.1
0.00821092,0,0.1
0.00821108,0,0.1
0.00821124,0,0.1
0.0082114,0,0.1
0.00821156,0,0.1
0.00821172,0,0.1
0.00821188,0,0.1
0.00821204,0,0.1
0.0082122,0,0.1
0.00821236,0,0.1
0.00821252,0,0.1
0.00821268,0,0.1
0.00821284,0,0.1
0.008213,0,0.1
0.00821316,0,0.1
0.00821332,0,0.1
0.00821348,0,0.1
0.00821364,0,0.1
0.0082138,0,0.1
0.00821396,0,0.1
0.00821412,0,0.1
0.00821428,0,0.1
0.00821444,0,0.1
0.0082146,0,0.1
0.00821476,0,0.1
0.00821492,0,0.1
0.00821508,0,0.1
0.00821524,0,0.1
0.0082154,0,0.1
0.00821556,0,0.1
0.00821572,0,0.1
0.00821588,0,0.1
0.00821604,0,0.1
0.0082162,0,0.1
0.00821636,0,0.1
0.00821652,0,0.1
0.00821668,0,0.1
0.00821684,0,-0.1
0.008217,0,0.1
0.00821716,0,0.1
0.00821732,0,0.1
0.00821748,0,0.1
0.00821764,0,0.1
0.0082178,0,0.1
0.00821796,0,0.1
0.00821812,0,0.1
0.00821828,0,0.1
0.00821844,0,0.1
0.0082186,0,0.1
0.00821876,0,0.1
0.00821892,0,0.1
0.00821908,0,0.1
0.00821924,0,0.1
0.0082194,0,0.1
0.00821956,0,0.1
0.00821972,0,0.1
0.00821988,0,0.1
0.00822004,0,0.1
0.0082202,0,0.1
0.00822036,0,0.1
0.00822052,0,0.1
0.00822068,0,0.1
0.00822084,0,0.1
0.008221,0,0.1
0.00822116,0,0.1
0.00822132,0,0.1
0.00822148,0,0.1
0.00822164,0,0.1
0.0082218,0,0.1
0.00822196,0,0.1
0.00822212,0,0.1
0.00822228,0,0.1
0.00822244,0,0.1
0.0082226,0,0.1
0.00822276,0,0.1
0.00822292,0,0.1
0.00822308,0,0.1
0.00822324,0,0.1
0.0082234,0,0.1
0.00822356,0,0.1
0.00822372,0,0.1
0.00822388,0,0.1
0.00822404,0,0.1
0.0082242,0,0.1
0.00822436,0,0.1
0.00822452,0,0.1
0.00822468,0,0.1
0.00822484,0,0.1
0.008225,0,0.1
0.00822516,0,0.1
0.00822532,0,0.1
0.00822548,0,0.1
0.00822564,0,0.1
0.0082258,0,0.1
0.00822596,0,0.1
0.00822612,0,0.1
0.00822628,0,0.1
0.00822644,0,0.1
0.0082266,0,0.1
0.00822676,0,0.1
0.00822692,0,0.1
0.00822708,0,0.1
0.00822724,0,0.1
0.0082274,0,0.1
0.00822756,0,0.1
0.00822772,0,0.1
0.00822788,0,0.1
0.00822804,0,0.1
0.0082282,0,0.1
0.00822836,0,0.1
0.00822852,0,0.1
0.00822868,0,0.1
0.00822884,0,0.1
0.008229,0,0.1
0.00822916,0,0.1
0.00822932,0,0.1
0.00822948,0,0.1
0.00822964,0,0.1
0.0082298,0,0.1
0.00822996,0,0.1
0.00823012,0,0.1
0.00823028,0,0.1
0.00823044,0,0.1
0.0082306,0,0.1
0.00823076,0,0.1
0.00823092,0,0.1
0.00823108,0,0.1
0.00823124,0,0.1
0.0082314,0,0.1
0.00823156,0,0.1
0.00823172,0,0.1
0.00823188,0,0.1
0.00823204,0,0.1
0.0082322,0,0.1
0.00823236,0,0.1
0.00823252,0,0.1
0.00823268,0,0.1
0.00823284,0,0.1
0.008233,0,0.1
0.00823316,0,0.1
0.00823332,0,0.1
0.00823348,0,0.1
0.00823364,0,0.1
0.0082338,0,0.1
0.00823396,0,0.1
0.00823412,0,0.1
0.00823428,0,0.1
0.00823444,0,0.1
0.0082346,0,0.1
0.00823476,0,0.1
0.00823492,0,0.1
0.00823508,0,0.1
0.00823524,0,0.1
0.0082354,0,0.1
0.00823556,0,0.1
0.00823572,0,0.1
0.00823588,0,0.1
0.00823604,0,0.1
0.0082362,0,0.1
0.00823636,0,0.1
0.00823652,0,0.1
0.00823668,0,0.1
0.00823684,0,0.1
0.008237,0,0.1
0.00823716,0,0.1
0.00823732,0,0.1
0.00823748,0,0.1
0.00823764,0,0.1
0.0082378,0,0.1
0.00823796,0,0.1
0.00823812,0,0.1
0.00823828,0,0.1
0.00823844,0,0.1
0.0082386,0,0.1
0.00823876,0,0.1
0.00823892,0,0.1
0.00823908,0,0.1
0.00823924,0,0.1
0.0082394,0,0.1
0.00823956,0,0.1
0.00823972,0,0.1
0.00823988,0,0.1
0.00824004,0,0.1
0.0082402,0,0.1
0.00824036,0,0.1
0.00824052,0,0.1
0.00824068,0,0.1
0.00824084,0,0.1
0.008241,0,0.1
0.00824116,0,0.1
0.00824132,0,0.1
0.00824148,0,0.1
0.00824164,0,0.1
0.0082418,0,0.1
0.00824196,0,0.1
0.00824212,0,0.1
0.00824228,0,0.1
0.00824244,0,0.1
0.0082426,0,0.1
0.00824276,0,0.1
0.00824292,0,0.1
0.00824308,0,0.1
0.00824324,0,0.1
0.0082434,0,0.1
0.00824356,0,0.1
0.00824372,0,0.1
0.00824388,0,0.1
0.00824404,0,0.1
0.0082442,0,0.1
0.00824436,0,0.1
0.00824452,0,0.1
0.00824468,0,0.1
0.00824484,0,0.1
0.008245,0,0.1
0.00824516,0,0.1
0.00824532,0,0.1
0.00824548,0,0.1
0.00824564,0,0.1
0.0082458,0,0.1
0.00824596,0,0.1
0.00824612,0,0.1
0.00824628,0,0.1
0.00824644,0,0.1
0.0082466,0,0.1
0.00824676,0,0.1
0.00824692,0,0.1
0.00824708,0,0.1
0.00824724,0,0.1
0.0082474,0,0.1
0.00824756,0,0.1
0.00824772,0,0.1
0.00824788,0,0.1
0.00824804,0,0.1
0.0082482,0,0.1
0.00824836,0,0.1
0.00824852,0,0.1
0.00824868,0,0.1
0.00824884,0,0.1
0.008249,0,0.1
0.00824916,0,0.1
0.00824932,0,0.1
0.00824948,0,0.1
0.00824964,0,0.1
0.0082498,0,0.1
0.00824996,0,0.1
0.00825012,0,0.1
0.00825028,0,0.1
0.00825044,0,0.1
0.0082506,0,0.1
0.00825076,0,0.1
0.00825092,0,0.1
0.00825108,0,0.1
0.00825124,0,0.1
0.0082514,0,0.1
0.00825156,0,0.1
0.00825172,0,0.1
0.00825188,0,0.1
0.00825204,0,0.1
0.0082522,0,0.1
0.00825236,0,0.1
0.00825252,0,0.1
0.00825268,0,0.1
0.00825284,0,0.1
0.008253,0,0.1
0.00825316,0,0.1
0.00825332,0,0.1
0.00825348,0,0.1
0.00825364,0,0.1
0.0082538,0,0.1
0.00825396,0,0.1
0.00825412,0,0.1
0.00825428,0,0.1
0.00825444,0,0.1
0.0082546,0,0.1
0.00825476,0,0.1
0.00825492,0,0.1
0.00825508,0,0.1
0.00825524,0,0.1
0.0082554,0,0.1
0.00825556,0,0.1
0.00825572,0,0.1
0.00825588,0,0.1
0.00825604,0,0.1
0.0082562,0,0.1
0.00825636,0,0.1
0.00825652,0,0.1
0.00825668,0,0.1
0.00825684,0,0.1
0.008257,0,0.1
0.00825716,0,0.1
0.00825732,0,0.1
0.00825748,0,0.1
0.00825764,0,0.1
0.0082578,0,0.1
0.00825796,0,0.1
0.00825812,0,0.1
0.00825828,0,0.1
0.00825844,0,0.1
0.0082586,0,0.1
0.00825876,0,0.1
0.00825892,0,0.1
0.00825908,0,0.1
0.00825924,0,0.1
0.0082594,0,0.1
0.00825956,0,0.1
0.00825972,0,0.1
0.00825988,0,0.1
0.00826004,0,0.1
0.0082602,0,0.1
0.00826036,0,0.1
0.00826052,0,0.1
0.00826068,0,0.1
0.00826084,0,0.1
0.008261,0,0.1
0.00826116,0,0.1
0.00826132,0,0.1
0.00826148,0,0.1
0.00826164,0,0.1
0.0082618,0,0.1
0.00826196,0,0.1
0.00826212,0,0.1
0.00826228,0,0.1
0.00826244,0,0.1
0.0082626,0,0.1
0.00826276,0,0.1
