,time,data
0,0.00033333,10.240381662661092
1,0.00066666,-4.574387388420291
2,0.00099999,-4.736786842368019
3,0.00133332,10.24311697588928
4,0.00166665,-5.158728445767338
5,0.00199998,-4.130719582808524
6,0.00233331,10.193568730555851
7,0.00266664,-5.718373532254191
8,0.00299997,-3.5103505426559423
9,0.0033333,10.105804251834344
10,0.00366663,-6.246054529874527
11,0.00399996,-2.875836025523313
12,0.00433329,9.984981558955042
13,0.00466662,-6.742240349467465
14,0.00499995,-2.2188919399195584
15,0.00533328,9.825708177268098
16,0.00566661,-7.209275545228593
17,0.00599994,-1.5667151145134994
18,0.00633327,9.620715988767188
19,0.0066666,-7.639423088312469
20,0.00699993,-0.8985953205774422
21,0.00733326,9.375631923521723
22,0.00766659,-8.032214067879977
23,0.00799992,-0.2269586953480029
24,0.00833325,9.083969381590578
25,0.00866658,-8.389602279094106
26,0.00899991,0.4512426816290826
27,0.00933324,8.748854435234534
28,0.00966657,-8.704163300335495
29,0.0099999,1.137102935645089
30,0.01033323,8.367395467612369
31,0.01066656,-8.980976999027916
32,0.01099989,1.810537052424479
33,0.01133322,7.958583367708343
34,0.01166655,-9.205116380126128
35,0.01199988,2.4789694535866147
36,0.01233321,7.504208764603391
37,0.01266654,-9.388460518221107
38,0.01299987,3.130911823573115
39,0.0133332,7.022012118377461
40,0.01366653,-9.528430403697712
41,0.01399986,3.781447461042262
42,0.01433319,6.510117785674083
43,0.01466652,-9.626823528105888
44,0.01499985,4.407365279457736
45,0.01533318,5.966493819523748
46,0.01566651,-9.69872319010392
47,0.01599984,5.012651020952035
48,0.01633317,5.396532694576308
49,0.0166665,-9.728889787420483
50,0.01699983,5.597382837331679
51,0.01733316,4.807033617998968
52,0.01766649,-9.679810452926176
53,0.01799982,6.152573270846915
54,0.01833315,4.198152893404767
55,0.01866648,-9.600408217502263
56,0.01899981,6.684161858793232
57,0.01933314,3.566920752145961
58,0.01966647,-9.488338526953155
59,0.0199998,7.187928403618571
60,0.02033313,2.919433035131078
61,0.02066646,-9.33766184398337
62,0.02099979,7.658793037899159
63,0.02133312,2.263036012172961
64,0.02166645,-9.141813416845253
65,0.02199978,8.098084342345828
66,0.02233311,1.5965574061738153
67,0.02266644,-8.902825192508317
68,0.02299977,8.497127466434904
69,0.0233331,0.9135106171925144
70,0.02366643,-8.61530469632271
71,0.02399976,8.86287792094663
